经销商代码,经销商简称,状态,营销大区,服务区域经理,26年分配,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,是否有任务书,Q1,Q2,Q3,Q4
M18276,辽宁福达汽车销售服务有限公司,正常,北区,鲁金泽,5698000,561300,340200,603900,476300,510300,484800,416800,450800,544300,476300,408300,424700,是,1505400.0,,,
M18892,辽宁驰敖中联汽车销售服务有限公司,正常,北区,鲁金泽,6953000,685000,415200,736900,581200,622700,591600,508600,550100,664200,581200,498200,518100,是,1837100.0,,,
A13289,大连众联达贸易有限公司,正常,北区,唐宏宇,6820000,671900,407200,722800,570100,610800,580300,498800,539500,651500,570100,488600,508400,是,1801900.0,,,
M18206,大连盛瑞行汽车有效公司,正常,北区,唐宏宇,870000,85800,52000,92200,72800,78000,74100,63700,68900,83200,72800,62400,64100,是,230000.0,,,
A32801,辽宁旺达汽车销售服务有限公司,正常,北区,鲁金泽,2077000,204600,124000,220100,173600,186000,176700,151900,164300,198400,173600,148800,155000,是,548700.0,,,
M18285,吉林省仁德汽车销售服务有限公司,正常,北区,唐宏宇,5152000,507600,307600,546000,430700,461400,438400,376800,407600,492200,430700,369100,383900,是,1361200.0,,,
M18283,长春久鼎汽车销售服务有限公司,正常,北区,唐宏宇,2716000,267600,162200,287900,227100,243300,231100,198700,214900,259500,227100,194600,202000,是,717700.0,,,
A18055,吉林省瑞祥汽车销售服务有限公司,正常,北区,唐宏宇,2303000,226900,137500,244100,192500,206300,196000,168500,182200,220000,192500,165000,171500,是,608500.0,,,
M18952,吉林市铭航汽车销售服务有限公司,正常,北区,唐宏宇,552000,54400,33000,58500,46200,49500,47000,40400,43700,52800,46200,39600,40700,是,145900.0,,,
A13475,西安骏雄汽车销售服务有限公司,正常,西区,李兴坤,8832000,870100,527300,936000,738200,791000,751400,646000,698700,843700,738200,632800,658600,是,2333400.0,,,
A22796,陕西广行汽车销售服务有限公司,正常,西区,李兴坤,8527500,840100,509200,903700,712800,763700,725500,623700,674600,814600,712800,611000,635800,是,2253000.0,,,
A28856,重庆银马汽车销售服务有限公司,正常,西区,孔立刚,7200000,709300,429900,763000,601800,644800,612600,526600,569600,687800,601800,515900,536900,是,1902200.0,,,
A15940,昆明京源达汽车销售有限责任公司,正常,西区,蒋旗,7080000,697500,422700,750300,591800,634100,602400,517800,560100,676300,591800,507300,527900,是,1870500.0,,,
M18571,重庆万事新汽车销售服务有限公司,正常,西区,孔立刚,5480000,640000,340000,640000,458100,490800,466300,400800,433500,523500,458100,392600,236300,是,1620000.0,,,
M18003,重庆金团汽车销售服务有限公司,正常,西区,孔立刚,5780000,569400,345100,612600,483200,517700,491800,422800,457300,552200,483200,414100,430600,是,1527100.0,,,
M18196,陕西骏威汽车销售服务有限公司,正常,西区,李兴坤,4446000,438000,265500,471200,371700,398200,378300,325200,351700,424700,371700,318600,331200,是,1174700.0,,,
M18561,四川中鹏汽车销售服务有限公司,正常,西区,陈莉,5480000,539900,327200,580800,458100,490800,466300,400800,433500,523500,458100,392600,408400,是,1447900.0,,,
A13558,绵阳星鸿达汽车销售服务有限公司,正常,西区,陈莉,5550000,546800,331400,588200,463900,497100,472200,405900,439100,530200,463900,397700,413600,是,1466400.0,,,
A13305,成都东成安邦汽车销售服务有限公司,正常,西区,陈莉,5150000,507400,307500,545800,430500,461200,438200,376700,407400,492000,430500,369000,383800,是,1360700.0,,,
M18131,四川西星实业发展有限公司,正常,西区,陈莉,5100000,502400,304500,540500,426300,456800,433900,373000,403500,487200,426300,365400,380200,是,1347400.0,,,
M18052,咸阳伟益汽车销售服务有限公司,正常,西区,李兴坤,4040000,398000,241200,428200,337700,361800,343800,295500,319600,386000,337700,289500,301000,是,1067400.0,,,
M18913,乌鲁木齐笑好景星汽车销售有限公司,正常,西区,蔡永生,3850000,379300,229900,408000,321800,344800,327600,281600,304600,367800,321800,275900,286900,是,1017200.0,,,
M23002,重庆瀚达汽车销售服务有限公司,正常,西区,孔立刚,3180000,313300,189900,337000,265800,284800,270600,232600,251600,303800,265800,227900,236900,是,840200.0,,,
A14861,银川瑞鼎汽车销售服务有限公司,正常,西区,蔡永生,3240000,319200,193500,343400,270900,290200,275700,237000,256300,309500,270900,232200,241200,是,856100.0,,,
M18573,云南善为汽车销售服务有限公司,正常,西区,蒋旗,3150000,310300,188100,333900,263300,282100,268000,230400,249200,300900,263300,225700,234800,是,832300.0,,,
M18888,青海金团汽车销售服务有限公司,正常,西区,蒋旗,2850000,280800,170200,302100,238300,255300,242500,208500,225500,272300,238300,204200,212000,是,753100.0,,,
M18370,兰州金岛骄马汽车销售有限公司,正常,西区,蒋旗,2850000,248000,175000,286000,246000,238000,223000,222000,236000,242000,231000,248000,255000,,709000.0,,,
A26218,乐山市联合东升汽车销售服务有限公司,正常,西区,卢冶金,2640000,260100,157700,279800,220700,236500,224600,193100,208900,252200,220700,189200,196500,是,697600.0,,,
M18371,贵州正合隆汽车销售有限公司,正常,西区,卢冶金,2850000,280800,170200,302100,238300,255300,242500,208500,225500,272300,238300,204200,212000,是,753100.0,,,
M18246,遵义乾坤君马汽车销售有限公司,正常,西区,卢冶金,1770000,174400,105700,187600,148000,158600,150600,129500,140100,169100,148000,126900,131500,是,467700.0,,,
M18898,南充创达丰汽车服务有限公司,正常,西区,陈莉,1850000,182300,110500,196100,154700,165700,157400,135300,146400,176800,154700,132600,137500,是,488900.0,,,
M18911,伊宁市笑好泓源汽车服务有限公司,正常,西区,蔡永生,1120000,110400,66900,118700,93700,100300,95300,82000,88600,107000,93700,80300,83100,是,296000.0,,,
M18175,巴州四季秋林汽车销售有限公司,正常,西区,蔡永生,1280000,126100,76500,135700,107000,114700,108900,93700,101300,122300,107000,91800,95000,是,338300.0,,,
M18954,贵阳京正鸿汽车销售服务有限公司,正常,西区,卢冶金,2260000,222700,135000,239500,188900,202400,192300,165300,178800,215900,188900,162000,168300,是,597200.0,,,
M18896,阿克苏笑好,正常,西区,蔡永生,1020000,100500,60900,108100,85300,91400,86800,74600,80700,97500,85300,73100,75800,是,269500.0,,,
M18912,西藏鼎恒实业有限公司,正常,西区,孔立刚,340000,33500,20300,36100,28500,30500,29000,24900,26900,32500,28500,24400,24900,是,89900.0,,,
M18945,汉中骏逸鑫逸汽车销售服务有限公司 ,正常,西区,李兴坤,1220000,120200,72900,129300,102000,109300,103800,89300,96600,116600,102000,87500,90500,是,322400.0,,,
M18966,宝鸡福瑞腾汽车销售服务有限公司,正常,西区,李兴坤,1760500,140000,80000,140000,120000,120000,120000,176050,176050,176050,176050,176050,160250,是,360000.0,,,
M18965,泸州长马一鸣汽车贸易有限公司,正常,西区,卢冶金,720000,71000,43000,76300,60200,64500,61300,52700,57000,68800,60200,51600,53400,是,190300.0,,,
,,,,,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合计,,,,
,,,,,2025年零件实达,55743850.93999998,62982995.87999995,61112928.33999998,56003518.40999998,60324458.02999999,57036444.80999997,49755349.01999998,53234204.89999998,64916127.97999998,56026780.409999974,48103407.579999976,50000000,675240066.2999997,179839775.1599999,,,
,,,,,2026年零件目标,66000000,40000000,71000000,56000000,60000000,57000000,49000000,53000000,64000000,56000000,48000000,50000000,670000000,177000000.0,,,
区域,,,,零件占比,/,0.09850746268656717,0.05970149253731343,0.10597014925373134,0.08358208955223881,0.08955223880597014,0.08507462686567165,0.07313432835820896,0.0791044776119403,0.0955223880597015,0.08358208955223881,0.07164179104477612,0.07462686567164178,,0.26417910447761195,,,
北区,,,,0.12698530352976348,北区,8383400,5080400,9018400,7113400,7621400,7240200,6223600,6731600,8129600,7113400,6096400,6350200,85102000,22482200.0,,,
东区,,,,0.28337913527227704,东区,18704400,11336400,20121400,15870400,17004400,16154200,13886600,15020600,18137600,15870400,13603400,14172200,189882000,50162200.0,,,
南区,,,,0.28797382282280953,南区,19008400,11520400,20448400,16128400,17280400,16416200,14112600,15264600,18432600,16128400,13824400,14397200,192962000,50977200.0,,,
西区,,,,0.1650606446675446,西区,10896400,6603400,11721400,9245400,9905400,9410200,8089600,8749600,10565600,9245400,7924400,8255200,110612000,29221200.0,,,
中区,,,,0.13645468414069697,中区,9007400,5459400,9690400,7642400,8188400,7779200,6687600,7233600,8734600,7642400,6551400,6825200,91442000,24157200.0,,,
全国,,,,,全国,66000000,40000000,71000000,56000000,60000000,57000000,49000000,53000000,64000000,56000000,48000000,50000000,670000000,177000000.0,,,
